Language,Content
EN,there is english there is there is english there is german there is italian there is spanish and he is french la so they all mix and okay then at the telephone right did i tell this before
EN,the telephone right then there is this piece of paper so like with a country flag and then what to say ah so like if someone calls for this person then you know okay britizen see a british flag then you must read like oh he is not around now
EN,so my friend okay so someone called the phone then the british girl pick up then she was reading the french script la which say he is not around he will be back in the afternoon
EN,yeah he go to school ah so she reads then after that the mother says so he go to school then the girl say what okay she the mother was speaking in french then say yeah go to school is school is lafuq la lafuq fakute
EN,fakute yeah how to say ah fuq-lafuq lafaq the question lafaq with a question mark lafaq
EN,then she la~ what lafuq then she lafaq  then there is one guy lying on sofa and say eh wendy calm down  then the next day she ask the french guy is it true that lafaq means school then he says yeah le-e-kul lafuq lafaq
EN,yeah fa-ku-te then she oh okay then the next day right when they all eating then says (erm) what time is it then together oh everybody i am going to fuq  yeah that's why the show is sure quite hilarious
EN,it is not vulgar you know it is it is it is french
EN,ah then (erm) (erm) like okay la more preface to this as in
EN,why is it it is not that it is not just this funny it is more funny than this because
EN,if you know the character she is like a nun she is like a nun she is not a nun it is like i am not the trendy london girl
EN,yeah like very traditional like a nun la yeah lo
EN,then she i am going to fuck
EN,what you want to talk about oh you want to talk about computers
EN,eh do you know anything about this what is this what do you think this is for
EN,it is a speaker
EN,oh yeah i have this i have it you know
EN,something like this i think it is i think it is i haven't used it yet
EN,(erm) no i yeah fall into my table then became mine
EN,this is quite expensive i bought from challenger
EN,forty
EN,looks quite good is it very good just now was it good
EN,yeah i heard it was quite good right not bad huh
EN,no it just one piece of like that
EN,holiday
EN,what what do you mean by plan aren't you allocated courses
EN,do these courses
EN,oh i haven't got any email yet but i have looked at it ah
EN,no but generally it is all the same my eight thirty lessons end at five thirty start at eight thirty cannot siam mah
EN,because mine huh the lectures are spread out on the five days
EN,so there is no way you can actually like siam the one of the days every day has lessons
EN,no but he only have there is only one lecture per week on every course
EN,let's say there are four course
EN,there are lecture and tutorial la so like maybe (erm) on on the monday then there is like the first lecture then on tuesday there is another lecture then on wednesday there is another lecture
EN,so no matter what you have to go hunt school on monday tuesday and wednesday
EN,then there are still two more lectures then there are tutorials which are on other days which you cannot siam cause everybody will be going for tutorial which are not on those days so you will be fighting with every one la but
EN,anyway every day there is lecture i checked already it is quite bad it is very bad how is yours you haven't checked yet
EN,but you can't
EN,actually it is possible right to take your next year modules that means your year three modules and then your year two we taking next year
EN,but anyway you will be at the loss la because you are fighting against people who have done your year things but then again when you do your next year during next year when you do your first your your previous year one you will be at the advantage
EN,(erm) so you need your year two first
EN,do you think it is better to to actually do with people you know all the way or you better to screw up your timetable when no really not screwed up but like take okay for me ah i am year one right so do you think it is better if i just follow the friends and follow the tide and do the year one modules in year one do the year two modules in year two
EN,or now i take the year two make my timetable damn sui don't need to school for two days then year two also do the same thing but have no friend to do it with
EN,subjects are roughly the same it is like
EN,no one to discuss with
EN,so technically i at loss in even a greater extend
EN,do you think if we reconnect this analogue this analogue all these
EN,these analogue so we reconnect it here it still works
EN,because you need to reconfigure right
ZH,我们 可以 换 吗
EN,g. g.
EN,power la eh
EN,all the weakness
EN,and then everything is recorded now
EN,or you put a bug here and then
EN,i know i know but you put a bug here e. m. p. bug  then after it activates then everything black out
EN,oh there is no plan catch up my reading i am going to read quite a bit play game we didn't go out no there is nothing much to work actually all the people don't want to go out i want to go out and do eh did you meet kenzi they all
EN,did did alan go
EN,that is quite good right that is quite good right
EN,oh so it supposes to be a peuch crowd ah then you all play you all play still play the volley ball
EN,wah you all reach at four isn't that very late already
EN,oh but isn't it very early in that case
EN,oh but actually these few days not very good to go out because it is like rain every day
EN,that is why these few days must like go and watch all the the clay indoor things play all the indoor games
EN,what concert is it called
EN,by whom
EN,as in oh it is a singing concert where where is it held
EN,oh one of the one of the it is like a it is like a resettled studio studio thea~ drama theatre so it is like a like that lo bigger
EN,actually i know where it is la i know where it will be held national library (erm) upstair there got seats one right got chair (erm) then got stage in front
EN,sixty ah wah
EN,i would mind
EN,but who who what anime is it called
EN,then weiming didn't know who to go with so she went xukun
EN,he is quite rich you know he is very spentry when he he can spend somehow
EN,he can spend he is spentry therefore he spends
EN,and he can spend because because he cause he got some maincomm on somewhere ah
EN,(erm) i i believe it is more of allowance i don't think that l. ting give him much income
EN,i don't i really don't think it gives much income and anyway some approach recently ask me to again
EN,that was so angry ah some friends from fencing last time
EN,my j. c. friends they are so so annoying you know walau and then ah my army friends also ask me to go say (erm)
EN,like actually brother eh hello very long time no see huh yeah lo ah what you want then we talk talk talk talk and say you got think you want to meet ah oh meet lo you want do business with me ah make money
EN,that i knew la then i
EN,business okay business is fun i want to do business sure can make money why i don't want same okay la we meet and talk about it la so what business are you in
EN,(erm) don't know (erm) no la he never says don't know he say oh
EN,yeah la like some form they try to be as ambiguous as possible
EN,yeah then after that say he says okay la so so we meet up la meet up then i okay lo so they ask me where i stay i say i stay serangoon how about you then he says my stay hmm then hesitate i stay aljunid
EN,you know the significant of aljunid
EN,yeah so stay aljunid ah eh no la ask you something is it it is called l. f. i. then he
EN,so you know la as in yeah you know
EN,then after he tried to ask me to go
EN,then he s. m. s. me just recently hey bro you shouldn't leave this platform come back you won't be under me and all these craps la
EN,nah i won't i will never say that
EN,because i don't want
EN,no i don't want get my he is already in he is pulling me in
EN,no no no b. s. m. the guy is pulling me in
EN,so i don't want to i don't want to go in and i don't want to tell him that i no work like it is just very pek-cek la and
EN,it's it's wrong la anyway everyone from all those loses their friends in the end
EN,really like our our bunk you know my bunk my bunk got gemi weiming weileong jiaqing roy
EN,so in the end all of us (erm) like weileong and roy cut cause roy did all this kind of things
EN,yeah cut really cut
EN,jinghao went in leh
ZH,他有讲 这样讲 咩
ZH,几时跟你 跟你讲
ZH,后悔 啊
ZH,做么后悔
EN,for if you are in this one la how to how to sell cannot sell one la
ZH,这种东西 他们要买车 诶
EN,but i don't know how to speak chinese and english mixed together
EN,but i do not mix my language together
EN,okay you start a topic
EN,there is nothing to discuss
ZH,然后 他说
EN,we only know the sports sec from temasek hall
EN,i don't even know what we are doing
EN,i don't know what's going on yes
EN,but i won't be there
ZH,还有 咧
ZH,他会 (呃)
EN,but the rest i don't know what he is up to seriously
EN,and the thing about him is he always wants to include the other two committees in whatever canvassing
EN,and i already told him before you only
ZH,可以 赚 很多 钱 才 叫 他们 两个 一起 做
ZH,可是 他 不懂
ZH,你的 华语 在 哪里
ZH,我 叫 他 志扬 因为 我 收只羊 很 好听
EN,i forget your name
ZH,我 会 去 你的 房间 看
ZH,因为 我 考完试 了
ZH,所以 他说 看 怎样 先
ZH,我 不 知道
ZH,可是 我 要 开工 了
EN,okay la okay la
EN,anything
ZH,我不知道 靠近我家
EN,k. la k. la
EN,k. la k. la k. la
EN,i do not
EN,i do not stay clementi
ZH,四十五 分钟 还是 半个 钟头
EN,then in the end he really carried the whole survey to j. b. ah i don't know what he doing ah like no common sense one
EN,thanks
EN,thank god you stopped him or it would have been catastrophic
ZH,他说
ZH,我们是不是不可以笑
ZH,我 不 知道 他们 两个 一起 的
ZH,因为 我 跟 他 说 一个
ZH,虽然 不是 很多 但是 我们 两个 都 可以 赚
EN,right like at most split split up
ZH,一个 人
EN,then we go by per block lo
EN,total weight per block you mean after one block you all want to go down and put the things at one side meh you all want to carry around
EN,the lorry will come after everything is over is it
ZH,吓 这样
EN,then divide by
EN,what you have in mind
EN,i want take picture with chicken
EN,but why is there a don't know what is no link
EN,farm and that lost city unless you want to do the theme with mac old mcdonald then okay la
EN,you think of something else la
EN,co-chair
ZH,你 问 了 吗
ZH,我 不 知道 那个 那个 他 叫 什么 名 啊
ZH,勇黎 我 不懂 他 是
ZH,我不知道 乔治
ZH,四个 都 明白 我 在 说 什么 可是 他
EN,like just involve your own bizmag committee subcommmm then maybe you want you can get the j. c. r. c. maincomm involved
EN,then we just go by the number of cards done la
EN,because they were supposed to promote the cards so i said you all can go and promote both cards also but you just let them know that
EN,then after that from what i heard from the j. c. r. c. is he said that
EN,i say he shouldn't do city clear card and he should only do mahattan card
EN,which i don't understand why he don't he don't get what i am trying to say
ZH,他 勇为 说 的 东西 又 跟 我 说 的 不一样
EN,then let say if it is such a big thing
EN,then i say isn't it very rush then i say number two where you want get prizes
EN,he charge me one hour fifty leh for the bash
EN,the emcee
ZH,他 要 卖 我们 两 百 五十 还是 一百 五十 我 忘记 了 啦
ZH,你 不可 以 帮 我们 咩
EN,at the end of the day feasible or not manpower the time you need
EN,but i always speak to him informally we never ever had a meeting just of two of us
EN,cause i always don't know what he is doing i really don't know what he is doing
EN,but i won't be around most of the time
EN,i only have this month leh that is why that time i told i don't want to be bizmag what
EN,yeah but in term in name only what if i still have to guide him that means okay la after i go you have to guide him la
EN,yeah lo then i will just be like
ZH,你 不懂 他 做 什么
EN,i think it is
EN,yeah cause it is it is not really a camp camp thing what like musician i mean okay my c. s. also use like what baba-roti that kind but it is a bit
EN,but it is c. s. c. s. can pull it off i swear
EN,you know every year c. s. they hand deliver the
EN,the camp
EN,why  why this year i don't want
EN,okay la
EN,yeah it is more sincere
ZH,我 可以 讲 不要 吗
EN,yeah i go and suplicate my key leh
EN,no no no it it broke then it dropped out
EN,cause i think i was half pulling cause i go and see who is screaming what
ZH,多管 闲事
ZH,可是 有人 喊 你 不会 看 咩
ZH,是 那个 人 喊 很 大声 我 锁门 一半 我 就 诶 为什么 喊 这样 大声
EN,it is not
EN,yeah by the way is two dollars
EN,yeah i go to the outside one
EN,no i went to the just now i went j. p. the outside the uncle
ZH,不可以 还 这个 咩
ZH,吓 真的 咩
EN,you mean
EN,so how much is that
EN,huh you mean must duplicate the exact one
EN,i kept it
EN,sentimental value i should
ZH,真的 断掉
ZH,不要 给 你 看 了
EN,eh i like the word duplicate cause i don't need to deliberately change
ZH,吓 我 不 吃 很多 饭 我 吃 很多 面
EN,yeah why
EN,what is that
ZH,教育馆
ZH,村
ZH,度假屋
ZH,这种 东
ZH,我 是 一个 很 很 不懂 地方 的 人
EN,he damn funny
EN,k.
EN,yeah he says he drives car he don't know where to go
ZH,他 会 驾车 啦 男孩 子 要 会 驾车 嘛
EN,so you are
EN,so is
ZH,我 哪里 没有 来
ZH,我 有 听
EN,no but as in we don't know what the heck are discussing cause nat every time comes and ask me
EN,what is h. s. o. c. doing then i was tell her oh nothing much lo just now oh we intend to do karang-guni that kind
ZH,(呃) 没有 什么 东西
EN,then she very angry
EN,castor got say he forget then i told nat okay i will help you tell regina since
EN,eh yeah
ZH,谁 要 跟 你们 讲 那 时候 你们 害 我 害 到 那样 我 很 讨厌 你们 咯
EN,no la
EN,no but she was really very angry
EN,that is why i talk to ivan then why i ask you to talk to her is because i wasn't there at any point of time when
ZH,他 说 我
EN,what what is happening
EN,like what you said during one night stand all these
EN,but the thing is i didn't tell you who told me that right
EN,no ivan told me the conclusion is that i misinterpreted everything then i told him
EN,okay then
EN,i wasn't there at one night stand but the person was with nat
EN,ask me like
EN,don't need la cause i don't want amanda to get involved so amanda didn't pretend she don't know anything
EN,i spoke to nat then after that okay already
EN,get involved then ask you to talk to her then i don't know how you to talk to her
EN,that in the end is all my problems
EN,that was what ivan told me
EN,no it wasn't
EN,there was
EN,she was very calm that is why she told me
EN,huh really no la
EN,no but i did tell you that i wasn't there
EN,i also will i went there during the one night stand i wasn't with nat what i was with
EN,who was i with ah
EN,i was with someone else i wasn't with nat
EN,yeah so i kept telling ivan that i went there that is why i kept telling ivan because i went there
EN,both occasions i went there physically
EN,so i what i heard was from other people that is why i told ivan
EN,who is closest to nat why don't someone go and talk to nat to cause i don't want you all to have hard feeling over there
EN,then after that ivan says melfen lor
EN,so actually my initial intention is don't get involved
EN,she think that
EN,wah you know huh the guy right she they go and say ah nat don't know do what so it was
EN,it was a combination of every one like say say say say say so it became like
ZH,这个 你 不可以 讲 你 讲 我 一定 会 死 哦 我 会 很 讨厌 你
EN,care about o. c. and then you all want to have your own clique by itself then they say like
EN,something like that ah
EN,yes they said something ah then they keep saying like everything so that day
EN,i should know and number two like
EN,i am part i mean
EN,and they also talk about the snatch talent thing ah like snatch
EN,what manpower distribution anchor distributors
EN,they said something la just that they said there was i swear they said there was manpower distribution like unequal la
EN,then they said something like you all don't care about d. n. d. and
EN,and hexis and then like you all
ZH,你们
EN,the conclusion was just i told her as in i
EN,but even when i called her she kept telling me that
EN,like (er) claire do not trust the guy too much then the guys a lot then she was telling me the whole time that
EN,i am sorry if you think that ivan is a very good friend but
EN,she spoke to ivan until like three a. m. or four a. m.
EN,yeah i mean we know that nat will blow thing out proportion what somehow
EN,no but
EN,you know we are still friends what then
EN,i am i am not i wasn't close to her
EN,i realized that she was really very angry with me and then
ZH, 我
EN,that
EN,yeah that is the thing that is the thing that is why that night i felt that
EN,they really make it seems as if
EN,you all were segregated and everything and the worst thing after that
EN,do you all still need like people
EN,do you all still need it is six six dollars per person right
EN,huh really
EN,per person or pair
EN,can right
EN,we need to inform temasek hall
EN,it will be
EN,better la
EN,the best solution at the moment
EN,and the ad-hoc canvassing events like these
ZH,志凯
EN,cause i think it is not
EN,about baby sitting
EN,yeah la but after that leh
EN,what else do we have to talk about for our side
ZH,我也是在想
EN,can you stop laughing
EN,how about
ZH,他 有没有 跟 你 讲 其他 的 东西
ZH,为什么 你 这样
EN,that sounds a bit gay but anyway
ZH,那 很 好
EN,okay so
EN,then you won't be doing all the other things
ZH,高级 乎
ZH,拒绝
EN,cause in this case
EN,think it's better for both of them also la if you
EN,precisely precisely
EN,then karang-guni wise leh you don't know anything
EN,then but we need to settle on the date
EN,for all the wednesday stuff
EN,so karang-guni main
EN,you were saying that you were
EN,i think it's okay what
ZH,十九 号 的话
ZH,所以 也是
EN,that one is really funny i think
EN,flush the
ZH,赚
EN,also can lo
EN,that means let's say o. c. take ten blocks
EN,okay lo
EN,no but when they
EN,yeah lo then how you want to split
EN,transport to the main area what so after that it will be you cannot
EN,yeah so like
EN,then if you once you collected already you can't possibly wait there for too long what
EN,alternatively
EN,that one
EN,then other than that okay oh then another thing is photoshoot
EN,you have any inputs
ZH,你 有 什么 建议 吗
EN,like any place you want to do
ZH,在 榜鹅 那边
EN,that's what i remember currently la
EN,the theme for the camp itself
EN,yeah lo so lost city
EN,so that's why he thought of lalang field and
EN,the the farm la
EN,lost city la but
EN,he that is why he suggested then i thought a bit
EN,it is not is
EN,why you so happy about the chicken
EN,i don't know la
EN,yeah lo then but i didn't know how come
EN,(uh)
EN,oh credit card issue
EN,just finish exam how will i have time to ask
EN,george ah
EN,when is bryan meeting
EN,am i right to say that
EN,it landed up there
EN,end up it affect everyone so it is not very good
EN,then it becomes a w. c. event by itself already
EN,he can talk only
ZH,是 咩 他 没有 去 咩
EN,cheaper than alvin
EN,he charges for the bash
EN,as in prizes for what
ZH,哦 那些 也 要 钱 啊
EN,one more half to go what
EN,(erm) okay lo
EN,i mean
EN,it is ok la i think
EN,but never mind la we see what we can do lo
EN,what about
EN,you are ok with lost city ah no change
EN,music
EN,as in all the
EN,that is why we want to do it a good one
EN,for i mean to return to the hall la
EN,yeah lo so
EN,maybe you can help us to deliver next time
ZH,当你 做完 你 的 工 的 时候
ZH,为什么 咧
EN,why leh
ZH,不 记得 为什么 你 会 弄断
EN,elene pia
ZH,是不是 是 喊 什么
EN,huh two dollars only meh
EN,four or five dollars ah
EN,then if you cannot
EN,unless you keep your original then tell them that it is broken la
EN,huh really ah
ZH,要 留 作 纪念 啊
ZH,很 夸张 咧
EN,if you lost the key then you have to tell them
ZH,诶 不是 咧
EN,time will go by faster
EN,no problem lo then the next issue will be
EN,oh accommodation
EN,alternative
EN,national service resort country club
ZH,国民服役
EN,resort and country club
EN,yeah so any ideas
EN,(erm) okay
ZH,为什么 你 会 这么
EN,i must go and tease him about it
ZH,我 不知道 他 这样 差劲
ZH,这样 不是 很 很 很 惨 咩
EN,but in
EN,so it is the same what
ZH,如果 那个 女 的 偶尔 会 驾 一下 也是 件 不错 的 事情 嘛
ZH,我 已经 尽量 了 咧
ZH,对 我们 都是 华侨 中学 的 学生
EN,so we are effectively bilingual
EN,then we discuss you just keep eating
EN,then then you should know what we are doing already what
EN,but it is correct what we are not at the o. c. period basically we are just preparing mah
EN,oh okay that reminds you another thing so nat actually
EN,actually hor
EN,who who is the last one ah
ZH,品珑 啊
EN,eh that one is really hor you said one what
EN,yeah lo then settled already what no meh
ZH,他 没有 跟 你 讲 咩
EN,he never talked she never talked to you meh
ZH,你们 在 一起 这么 久
EN,(uh-huh)
ZH,所以 是
EN,in the at in the first place mah
EN,you also you like to talk to her then nat says that it's not serious at all
EN,she said that she was complaining but
EN,she
ZH,为什么 会 闹 到 这样
EN,correlate
EN,it will naturally that it will naturally be the fact that
ZH,呵呵
EN,yeah at the fuhang that one right
ZH,哪里 有
ZH,讲 什么 讲 什么
ZH,我们 的 棋子
ZH,我们 的 后代 我们 的 继承人
ZH,有 这么 僵 吗
ZH,换 华文
EN,yeah la
EN,tend to exaggerate and stuff like that lo
ZH,有 必要 弄到 这样 吗
EN,you all are not close meh
EN,why must he segregate ourselves
ZH,他们 跟 敬伦 讲
EN,okay lo never mind la anyway
ZH,诶 没有 我 常常 都是 这样 用 的
EN,so must be bilingual la
EN,six
ZH,这个 是 这个 是 我 的
EN,okay k.
ZH,哦 那个
EN,so are you gonna be living in hall
EN,oh like food as in fast food
ZH,无聊
ZH,没有 啦 这个 随便 都 可以 可以 一直 乱画 的 不用紧
EN,logistic
ZH,(呃) 哎呀
ZH,对了
EN,caught a movie
ZH,我 看 了
ZH,让 我 想一下 我 看 了 太多 戏 我 忘记 了
ZH,还好 啦 蛮 无聊 了
EN,quite draggy
EN,i agree
ZH,驾 一点 坦克车
EN,five c. m.
ZH,拿 得 到 位子 吗
EN,oh i also feel that way
EN,should be
ZH,三个 月
ZH,他们 会 骂你 吗
ZH,因为 我 真 受不了 那些 人
ZH,反正 我在 兵营 里面 也是 很 喜欢 跑步
ZH,已经 过了 吗
ZH,哦 跟谁 一起
ZH,昨天 你 有没有 看 那个 (呃) 电视剧 我们 同在 一起
ZH,那是 不可能 的 因为 我 东 ~ 东西 都 在 家 所以 我 不会 准 ~
ZH,你 呢
ZH,电
ZH,哦 他们 蛮 有钱 的 啊
ZH,(嗯) 不懂
EN,oh yeah tomorrow evening
ZH,(呃) 大概 有
EN,but end up
ZH,不懂 啦 明天 再 看
EN,most probably i will tomorrow i will tell them
ZH,不可以 什么 最 那时 你 买 的 电话 不好 吗
ZH,是不是 被 很多 人 笑
ZH,诶 我 觉得 我 可能 拿到 三 点 五 而已
ZH,对了 你 有 时常 跟
ZH,哦 我 觉得 很 蛮 大 的 不懂 有 要 吃 什么
ZH,看了 那 鼎泰丰 的 那个 不错
ZH,你 不懂
EN,acer
EN,full amount
ZH,哇 你 跟 谁 去 那边 吃 过
ZH,没有 从来 没有
ZH,没 时间 没 钱
ZH,你 打算 大学 的 时候 毕业 做 什么
EN,(erm) nope i don't even know what i am like gonna take so i will just follow the plan
EN,from the school
ZH,我们 可以 选择 不要 的 吗
ZH,唔 那个 我 不 大 清楚 那个 我 等一下 去 看
ZH,你要 午餐 吃 什么
ZH,累 吗
ZH,他 说
ZH,然后 我 就 选了 就 来了
ZH,(啊) 应该 不会 啦 因为 每次 都 是 我 有 参加
ZH,哦 不是 不是
ZH,无缘无故 我 也 我 又 变成 他们 的 一份子
EN,year three sem one
ZH,我 觉得 太 太 太 不值得 了
EN,my job is to give out doctor joint which is
ZH,站 在 那边 晒 太阳 晒 到 一点
ZH,可是 第一 前 几 名 都是 黑人 就 对了
ZH,哦 我们 走路 从 从
ZH,哦 到 哪一 站
EN,wah potong-pasir very far man
EN,(erm) don't know see how
ZH,那个 不重要
ZH,不用紧 我 的 另外 一边 的 朋友
EN, orchid-park-secondary
ZH,对 他 只 大 我 一 岁
EN,triple e.
ZH,当完 兵 了
ZH,没有 我 只是 好奇
ZH,拍照 是
ZH,你 做 我 做 那个 摄影师 还是 我 做 那个 被 拍 的 人
ZH,还好 啦
ZH,你 宝 ~ 老爸 应该 是 蛮 有钱 的
ZH,驾 那种
ZH,超 大辆 的 车
ZH,载 那种 超长 的 货
ZH,苦工 啦 苦工
ZH,她 教 华语
ZH,喝
ZH,她 教 别人 不是 教 我
EN,when i am old
ZH,你 的 生日 是 几时
ZH,哦 还 很 久
EN,yes and i think will be having f. o. c. camp you know that period august we will be having f. o. c. camp
ZH,暂时 还没 想
ZH,下个 星期 我 就要 交稿 了
EN,student union (hmm)
EN,oh sorry
ZH,他 有 打包 吗
ZH,有 啊 乱喊
EN,i. m. h.
ZH,做 那些 跳舞 啊 唱歌 我 觉得
ZH,很像 有 一点 把 他们 当 小丑
ZH,也 对
ZH,为什么 血淋淋 是 不好看
ZH,我 最近 很 少 看 电视
ZH,也 对 啊
ZH,马上 冲 回家 冲凉 睡觉
ZH,(啊) 这个 是
ZH,然后 唱歌 的 是 只是 叫 我 选歌 不一定 会 派 我 去 唱
ZH,你 有 跟 人 跑 吗
ZH,你 不怕 出 发生 意外 吗
ZH,你 自己 一个人 半夜 去 跑 可能 你 晕倒 都 没人 知道 本来 可以 救 可是 太迟 发现
ZH,理想 跟 现实 永远 都是 有 差别 的
ZH,走到 (啊)
EN,office
ZH,(嗯) 对
ZH,学校 的 比较 便宜 嘛
EN,you know save money
ZH,有 的话 也是 没有 这种 东西
ZH,不好吃 咩
EN,volleyball interschool games
ZH,没有 他 有 给
ZH,不 大 清楚 很像 是 二十 多 号
ZH,不会 啦
EN,ah correct
ZH,只是
ZH,(呃) 不大 清楚
ZH,两点 多 三点
ZH,再看 怎样 吧
ZH,用功 读书
EN,we shall see about that
ZH,再看 再看
EN,uh-ah
EN,i think i will still follow the plan
ZH,再看 怎么办
ZH,这样 你 就要
EN,pray hard that god helps you
EN,square square
EN,how much time can you waste
ZH,也对 也对
ZH,买 新 衣服 新 裤子
EN,oh i think i need to get a calendar to
ZH,蛮 像 的
ZH,我 也 不大 清楚
ZH,诶 对 你 等一下 要 去 哪 你 大概 就 先 去 搭 一 九 九 啊
EN,south spine
ZH,哇 这样 好 啊
EN,then don't do don't join
ZH,不要 学 不要 学 现在 后悔
ZH,没钱 没时间
EN,ad-hoc good
ZH,你 好
ZH,诶 我 觉得 应该 是 凶多吉少 吧
ZH,没有 人 告诉 我 几点 诶
EN,i am not going to go home
EN,i like to eat slow food
EN,i do a project on microsoft surface
ZH,你 不会 觉得 很 怪 吗 一直 在 转移 话题
ZH,怎么办 啊
EN,depends on what
ZH,诶 你 这个 周末 啊 这个 周末 你 去 做 什么
ZH,你 有 看 那个 小说 吗
ZH,你有看 那本 小说 吗
ZH,我 劝 你 还是 不要 看 比较 好 因为 我 觉得 看了 也 没什么 分别 也是 一样 差
EN,five c. m. la
EN,for standing broad jump
ZH,我 觉得 可能性 蛮高 的 吧 因为  这个 假期 我 都住 都 根本 没 回 回 到家 诶
ZH,这个 拜三 吗
ZH,没有 告诉 我 诶 你们 去 你们 约定 去 哪里 啊
ZH,这个 拜三 不是 明天 吗
ZH,那 你 打 那 你 一定 有去 的 啊
ZH,我 已经 欠 欠 他们 三个月 了
ZH,他们 应该 是 被 骂 因为 他们 已经 没有 人 会 去 做 了 就 剩 我 一个人 而已
ZH,哦 我 帮 我
ZH,蛮多 的 吧
ZH,其实~
ZH,回家 其实 也 不懂 要 做 什么 东西 诶
ZH,什么 跟 谁 就是 要 举办 啦
EN,in hall ah
ZH,哦 我 没有 看 你 可以  告诉 我 是  是 关于 什么 的 吗
ZH,你 可以 打完 麻将 再 回去 嘛
ZH,我 我 今天 早上 刚 回来 而已 诶 其实 我 不会 在 这里 很 久
ZH,可是 之前 都 没有 问题 的 诶
ZH,没有 诶 他们 还没有 跟 我 收 诶
ZH,我 没有 问他
ZH,我 好像 看 他 跟
ZH,他 跟 春安 打 网球 回来 诶
ZH,你 有 去 吗
EN,i am dedicating all my time to hall activities so that next year i can stay hall
ZH,诶 最近 你 打算 换 电话 吗
ZH,(呃) 这个 是 其中 的 一个 原因 吧
ZH,嗯 多 两个 礼拜 我们 就 可以 知道 结果 了
ZH,你 知道 理工学院 的
ZH,其实 我 也 不认识 他 突然间 打 电话 给 我
ZH,有 啊 可是
ZH,最近 好像 我 没有 跟 他们 去 诶
EN,there is not much else to eat
ZH,嗯 没有 注意 过 诶
EN,ten dollars
EN,is it still under warranty
ZH,我 是 蛮 喜欢
ZH,跟 我 朋友 去 啦 你没 去 那边 吃 过 吗
ZH,没有 诶 我
ZH,每个人 一直 问 我 为什么 不要 去 考 因为
ZH,我还 不懂 诶
EN,just need to consider whether
ZH,我去
ZH,还好 诶 因为 就今天 才 吃 啊 前几天 我 都 没有 吃 啊
ZH,哦 我 应该 是 可能 很 少人 跟 我 去
ZH,(呃) 回家 没有 什么 意义
ZH,我 也 不懂 要 去 哪一个
EN,anime
ZH,还有 半个 小时
ZH,本来 你 也是 有 去 的 嘛
EN,so what is your job responsibility
ZH,你 有没有 看到 什么
ZH,我 看到 有 好像 有 两个人 他们 穿
ZH,我 搭
ZH,一个 小时 多 吧
ZH,你 现在 打算 再 交 女朋友 吗
ZH,你 喜欢 什么 类型 的 女孩子
ZH,我 不懂 诶 我 只是 刚 玩 而已 诶
ZH,对 你 是
ZH,现在 你
ZH,可是 他 还没有 当完 兵 还是 什么
ZH,我 家里 也是 啊
ZH,我 会
ZH,为什么 你 这样 问 呢
ZH,可是 我 觉得
ZH,说 的 也是
ZH,你 喜欢 拍照 吗
ZH,是 做 那个 摄影师 啊
EN,photographer
ZH,现在 他 是 从 家里 工作 所以 我 觉得 他 赚 的 应该 不是 很 多 吧
ZH,你 父母 是 做什么 职业
ZH,她 小时候 没有 教你 咩
ZH,七月 十六 号
ZH,以前 我 参加
ZH,我 觉得 她 这样 聪明伶俐
ZH,哦 可是 多 大多 是 她 在 讲话 所以 对 我 来 说 没有 什么 分别
EN,then did they give you whistle
EN,either couple retreat
EN,or ninja-assassin
ZH,我 根本 都 没有 看电视
ZH,我 觉得 上半部 那些 跑
ZH,可是 我 跑
ZH,没有 啊 一个人 去 跑
ZH,哎呀 这种 我 站在 我 站在
ZH,以前 我 本来 想
ZH,可是 从 那天 到 现在 我 只 跑 一次 而已 诶
ZH,我 本来 已经 完全
ZH,可是 没有 人 陪 我 玩 啊 很 sian
ZH,难 难说 诶
ZH,等下 先 吃完饭 才 回家 吗
ZH,也是 十二月 吗
ZH,他们 他们 也是 有 参加 吗
EN,i
EN,oh i think maybe tennis
ZH,通常 你是 几点 睡 的 最近
ZH,好 吧 我们 每个
EN,so i also considering
ZH,三年 嘛
ZH,新年 要 买什么 东西
ZH,没有 钱 诶
ZH,九号 到 十七号 我 没有 空
EN,how can you get an interview that at last one hour
ZH,考试 好像 比较 简单 诶 你 知道 我 每天 就 起来 就是 要 读书 这样
ZH,太迟 了 我 不可以 丢下 他们 不管
ZH,现在 不可以 继续 吗
ZH,弹吉他 是 自己 学 的 啊
ZH,吓 你 中学 有没有 参加 什么 课外活动
EN,secondary school you only join boys brigade
ZH,我中学是
EN,not meh
ZH,因为 我们 已经 很 多 时 已经 浪费 很多 时间 没有 讲话 了
ZH,我 觉得 就算 你 洗衣服 可能 下雨 你也 没有 办法 收 起来 咧
EN,i am not sure leh (erm)
ZH,哦 我 到 学校 十二点
ZH,半
EN,twelve thirty yeah you
EN,we were
EN,walau
ZH,水果 是 什么
ZH,不 不就是 水果 咯 你 刚才 讲 了
ZH,鸡
EN,chicken
EN,seafood chicken
EN,any kind
EN,hair colour
ZH,因为 我 没有 钱
EN,my my hair
ZH,不是 我 的 车
EN,ang-mo is red hair  people
EN,red ang red
EN,red oh caucasian
ZH,我 喜欢
EN,horror
ZH,哦 还有 什么
ZH,哦 那 你 还有 做什么 东西 呢
EN,christmas carols so like (erm)
ZH,我 也 没有 我 只是 喜欢 听 而已
